original_text,clean_text,style,hashtags,hashtag_count,mentions,mention_count,emojis,emoji_count,word_count,char_count,line_count,first_line,has_question,has_exclamation,has_url,primary_theme,tone,has_cta,hook_strength,target_audience
"Today. Was. Incredible. 
#Melanintravel
#Blacktraveljourney
#theurbanmillennial
#blackgirlstraveltoo
#blacktravelfeed
#blackandabroad
#WeGoToo 
#mytravelcrush 
#hardlyhome",Today. Was. Incredible. #Melanintravel #Blacktraveljourney #theurbanmillennial #blackgirlstraveltoo #blacktravelfeed #blackandabroad #WeGoToo #mytravelcrush #hardlyhome,general,#Melanintravel #Blacktraveljourney #theurbanmillennial #blackgirlstraveltoo #blacktravelfeed #blackandabroad #WeGoToo #mytravelcrush #hardlyhome,9,,0,,0,3,168,1,Today. Was. Incredible. #Melanintravel #Blacktraveljourney #theurbanmillennial #blackgirlstraveltoo #blacktravelfeed #blackandabroad #WeGoToo #mytravelcrush #hardlyhome,False,False,False,travel and adventure,casual,False,4,travel enthusiasts
"__⁖
▼ Today’s #ootd .
ˑ
ˑ
click here‣‣‣ #izfashiondiaries
.
今日は昨年末オープンした
\  @antiqua_tree_cafe  #アンティカツリーカフェ / へ.
ずっと行ってみたかったcaféの１つ.
ˑ
ˑ
#antiquatreecafe",__⁖ ▼ Today’s #ootd . ˑ ˑ click here‣‣‣ #izfashiondiaries . 今日は昨年末オープンした \ @antiqua_tree_cafe #アンティカツリーカフェ / へ. ずっと行ってみたかったcaféの１つ. ˑ ˑ #antiquatreecafe,aesthetic,#ootd #izfashiondiaries #アンティカツリーカフェ #antiquatreecafe,4,@antiqua_tree_cafe,1,,0,16,152,1,__⁖ ▼ Today’s #ootd . ˑ ˑ click here‣‣‣ #izfashiondiaries . 今日は昨年末オープンした \ @antiqua_tree_cafe #アンティカツリーカフェ / へ. ずっと行ってみたかったcaféの１つ. ˑ ˑ #antiquatreecafe,False,False,False,fashion and cafe visit,casual,True,3,fashion and foodies
"Throwback naar vorig jaar 🌴
•
•
•
•
• 
#tb #travel #palmtrees #photooftheday",Throwback naar vorig jaar 🌴 • • • • • #tb #travel #palmtrees #photooftheday,general,#tb #travel #palmtrees #photooftheday,4,,0,🌴,1,10,75,1,Throwback naar vorig jaar 🌴 • • • • • #tb #travel #palmtrees #photooftheday,False,False,False,travel throwback,casual,False,2,friends and family
Join Miyagi at Sterling Hyundai on Johnston for incredible savings on tons of brand new cars and SUVs!! #ad,Join Miyagi at Sterling Hyundai on Johnston for incredible savings on tons of brand new cars and SUVs!! #ad,motivational,#ad,1,,0,,0,18,107,1,Join Miyagi at Sterling Hyundai on Johnston for incredible savings on tons of brand new cars and SUVs!! #ad,False,True,False,sales and savings,professional,True,5,car shoppers
Un beau samedi ⛸🌲 #saturday #friend #north #iceskating #vsco #vscocam #vscogram,Un beau samedi ⛸🌲 #saturday #friend #north #iceskating #vsco #vscocam #vscogram,aesthetic,#saturday #friend #north #iceskating #vsco #vscocam #vscogram,7,,0,⛸🌲,2,4,79,1,Un beau samedi ⛸🌲 #saturday #friend #north #iceskating #vsco #vscocam #vscogram,False,False,False,winter activities,casual,False,2,friends and outdoor enthusiasts
When your man tells you his plane just landed & he’ll be home soon!!!! 🙌🏼✈️🤩 http://liketk.it/2uRyW #liketkit @liketoknow.it  #ltkunder50 #ltkstyle #kccouple,When your man tells you his plane just landed & he’ll be home soon!!!! 🙌🏼✈️🤩 #liketkit @liketoknow.it #ltkunder50 #ltkstyle #kccouple,general,#liketkit #ltkunder50 #ltkstyle #kccouple,4,@liketoknow,1,🙌🏼✈🤩,4,16,133,1,When your man tells you his plane just landed & he’ll be home soon!!!! 🙌🏼✈️🤩 #liketkit @liketoknow.it #ltkunder50 #ltkstyle #kccouple,False,True,True,personal relationship,playful,False,4,friends and family
"Words to live by 💕
•
•
•
•
•
#quotes #marilynmonroe #wordstoliveby #inspirationalquotes #wednesday #april #2019 #life #noregrets #live #love #laugh #liveyourlife #livingmybestlife",Words to live by 💕 • • • • • #quotes #marilynmonroe #wordstoliveby #inspirationalquotes #wednesday #april #2019 #life #noregrets #live #love #laugh #liveyourlife #livingmybestlife,motivational,#quotes #marilynmonroe #wordstoliveby #inspirationalquotes #wednesday #april #2019 #life #noregrets #live #love #laugh #liveyourlife #livingmybestlife,14,,0,💕,1,10,179,1,Words to live by 💕 • • • • • #quotes #marilynmonroe #wordstoliveby #inspirationalquotes #wednesday #april #2019 #life #noregrets #live #love #laugh #liveyourlife #livingmybestlife,False,False,False,inspirational quotes,inspirational,False,3,people seeking motivation
"“I want this one” 😬 •
•
•
#london #pinkdoor #pink #starbucks",“I want this one” 😬 • • • #london #pinkdoor #pink #starbucks,aesthetic,#london #pinkdoor #pink #starbucks,4,,0,😬,1,8,60,1,“I want this one” 😬 • • • #london #pinkdoor #pink #starbucks,False,False,False,London landmark,casual,False,2,travel and photography enthusiasts
I GOT MY BIG!!! I can't tell y'all how much she stressed me out this week trying to tell me she wasn't my big 🙄 but it all worked out because I got the HOTTEST FAM EVER 💋 I love you!!!,I GOT MY BIG!!! I can't tell y'all how much she stressed me out this week trying to tell me she wasn't my big 🙄 but it all worked out because I got the HOTTEST FAM EVER 💋 I love you!!!,general,,0,,0,🙄💋,2,41,184,1,I GOT MY BIG!!! I can't tell y'all how much she stressed me out this week trying to tell me she wasn't my big 🙄 but it all worked out because I got the HOTTEST FAM EVER 💋 I love you!!!,False,True,False,personal achievement,playful,False,4,friends and family
"Vogliono ballare un po' di più
Vogliono sentir girar la testa
Vogliono sentire un po' di più
Un po' di più 🖤 @dibofoto",Vogliono ballare un po' di più Vogliono sentir girar la testa Vogliono sentire un po' di più Un po' di più 🖤 @dibofoto,aesthetic,,0,@dibofoto,1,🖤,1,22,118,1,Vogliono ballare un po' di più Vogliono sentir girar la testa Vogliono sentire un po' di più Un po' di più 🖤 @dibofoto,False,False,False,music and dance,playful,False,3,music and dance enthusiasts
"‪Just getting kicked off! Sunny, warm and PERFECT weather for #LowcountryCajunFestival Live music, food and fun!  @johnnyoonair #charleston","‪Just getting kicked off! Sunny, warm and PERFECT weather for #LowcountryCajunFestival Live music, food and fun! @johnnyoonair #charleston",general,#LowcountryCajunFestival #charleston,2,@johnnyoonair,1,,0,15,138,1,"‪Just getting kicked off! Sunny, warm and PERFECT weather for #LowcountryCajunFestival Live music, food and fun! @johnnyoonair #charleston",False,True,False,event announcement,casual,False,4,local event attendees
Tonight in St.Moritz for Kennedy Foundation Gala 💘,Tonight in St.Moritz for Kennedy Foundation Gala 💘,aesthetic,,0,,0,💘,1,8,50,1,Tonight in St.Moritz for Kennedy Foundation Gala 💘,False,False,False,luxury event,professional,False,3,high-end event enthusiasts
Everyone wants to be part of #clubbudweiser presenter by @95sxhitmusicnow 😃🍻🐶⚾️ #thirstythursday @chasriverdogs,Everyone wants to be part of #clubbudweiser presenter by @95sxhitmusicnow 😃🍻🐶⚾️ #thirstythursday @chasriverdogs,funny,#clubbudweiser #thirstythursday,2,@95sxhitmusicnow @chasriverdogs,2,😃🍻🐶⚾,4,9,111,1,Everyone wants to be part of #clubbudweiser presenter by @95sxhitmusicnow 😃🍻🐶⚾️ #thirstythursday @chasriverdogs,False,False,False,social invitation,playful,True,4,young adults
we got next. 🏀#internationalwomensday,we got next. 🏀#internationalwomensday,motivational,#internationalwomensday,1,,0,🏀,1,4,37,1,we got next. 🏀#internationalwomensday,False,False,False,empowerment,inspirational,False,5,women
yum @eunique_kollection #barverde#thegrove,yum @eunique_kollection #barverde#thegrove,aesthetic,#barverde #thegrove,2,@eunique_kollection,1,,0,1,42,1,yum @eunique_kollection #barverde#thegrove,False,False,False,food and drink,casual,False,2,foodies
How would you like to see @dierksBentley when he comes to Charlotte August 8th? We've got tickets... click the link and enter for your chance to win!,How would you like to see @dierksBentley when he comes to Charlotte August 8th? We've got tickets... click the link and enter for your chance to win!,general,,0,@dierksBentley,1,,0,26,149,1,How would you like to see @dierksBentley when he comes to Charlotte August 8th? We've got tickets... click the link and enter for your chance to win!,True,True,False,contest announcement,casual,True,5,music fans
